书名,作者,评分,评价,评价人数,出版日期,单价,URL
鹿鼎记（全五册）,金庸 ,8.8,武侠的解构，流氓的狂欢,28510, 2008-3 , 108.00元,https://book.douban.com/subject/1212893/
荆棘鸟,[澳] 考琳·麦卡洛 ,8.6,澳洲乱世情,32553, 1998-7 , 28.00元,https://book.douban.com/subject/1086249/
左手倒影，右手年华。,郭敬明 ,6.7,明媚啊明媚,38372, 2003-5 , 16.00元,https://book.douban.com/subject/1006881/
零下一度,韩寒 ,7.2,青春期习作,36149, 2000-08 , 12.00,https://book.douban.com/subject/1034108/
像少年啦飞驰,韩寒 ,7.3,属于少年的日子飞驰而过,36162, 2002-1 , 16.00元,https://book.douban.com/subject/1009160/
寻路中国,[美] 彼得·海斯勒 ,9.0,中国在路上，非虚构写作所能达到的高度,31512, 2011-1 , 33.00元,https://book.douban.com/subject/5414391/
被窝是青春的坟墓,七堇年 ,7.7,“要有最朴素的生活，与最遥远的梦想“,34259, 2007-11 , 22.00元,https://book.douban.com/subject/2339950/
我们台湾这些年,廖信忠 ,7.4,平民视角下的台湾大事记,35392, 2009-11 , 29.80元,https://book.douban.com/subject/4113090/
1Q84 BOOK 3,[日] 村上春树 ,7.6,兜了一大圈，村上还是回归了他的小确幸,35642, 2011-1 , 39.50元,https://book.douban.com/subject/5502995/
关于莉莉周的一切,[日] 岩井俊二 ,7.7,残酷青春的艰难呼吸,33646, 2006-12 , 28.00元,https://book.douban.com/subject/1926700/
机器猫哆啦A梦23,藤子・F・不二雄 ,9.5,满满的回忆,27924, 1999-12 , 8.00,https://book.douban.com/subject/1204889/
阿Q正传,鲁迅 ,8.7,哀其不幸，怒其不争,31762, 2003-7 , 14.50元,https://book.douban.com/subject/1088065/
乖，摸摸头,大冰 ,7.4,他人的生活总是比你的精彩,36472, 2014-9-1 , 36.00元,https://book.douban.com/subject/25984204/
大地之灯,七堇年 ,8.2,两代人的成长与救赎,31105, 2007-1 , 22.00元,https://book.douban.com/subject/1963310/
摆渡人,[英]克莱儿·麦克福尔 ,6.2,,48591, 2015-6-1 , 36.00,https://book.douban.com/subject/26356948/
黄金时代,王小波 ,8.9,永远生猛下去,31698, 2009-07-01 , 23.00元,https://book.douban.com/subject/1082406/
明朝那些事儿（伍）,当年明月 ,8.8,内忧外患之际，你方唱罢我登场,30521, 2008-3 , 28.80,https://book.douban.com/subject/3009821/
骆驼祥子,老舍 ,8.2,如骆驼喘息般深刻的绝望,35178, 2000-3-1 , 12.00,https://book.douban.com/subject/1043815/
