排名,影片名词,主演,上演时间,得分,电影海报URL
62,飞越疯人院,"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
63,飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009-08-04,8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
64,天使爱美丽,"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯",2001-04-25(比利时),8.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
65,爱在黎明破晓前,"主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",1995-01-27(美国),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
66,低俗小说,"主演：约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",1994-05-21(法国),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
67,大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",2014-10-24,8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
68,蝴蝶效应,"主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",2004-01-23(美国),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
69,罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20(意大利),9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
70,无间道,"主演：刘德华,梁朝伟,黄秋生",2003-09-05,9.1,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
71,釜山行,"主演：孔刘,郑裕美,马东锡",2016-05-13 00:00:00(法国),8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
72,菊次郎的夏天,"主演：北野武,关口雄介,岸本加世子",2020-09-25,8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
73,春光乍泄,"主演：张国荣,梁朝伟,张震",1997-05-30(中国香港),9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
74,七宗罪,"主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",1995-09-22(美国),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
75,爱在日落黄昏时,"主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",2015-04-20,8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
76,穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28(英国),9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
77,心灵捕手,"主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",1997-12-05(美国),8.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
78,控方证人,"主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",1957-12-17(美国),8.5,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
79,时空恋旅人,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
80,重庆森林,"主演：梁朝伟,王菲,金城武",1994-07-14(中国香港),8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
81,入殓师,"主演：本木雅弘,广末凉子,山崎努",2021-10-29,8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
82,辩护人,"主演：宋康昊,郭度沅,吴达洙",2013-12-18(韩国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
83,剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",1990-12-06(美国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
84,素媛,"主演：李甄,薛景求,严智苑",2013-10-02(韩国),9.1,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
85,断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005-09-02(意大利),8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
86,猫鼠游戏,"主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",2003-04-11,8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
87,天空之城,"主演：寺田农,鹫尾真知子,龟山助清",1992-05-01,9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
88,波西米亚狂想曲,"主演：拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",2019-03-22,9.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
89,两杆大烟枪,"主演：杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",1998-08-28(英国),8.7,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
90,蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14(阿根廷),9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
91,十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国),9.1,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
92,钢琴家,"主演：阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基",2002-05-24(法国),8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
93,真爱至上,"主演：休·格兰特,比尔·奈伊,连姆·尼森",2003-11-21(英国),8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
94,饮食男女,"主演：郎雄,吴倩莲,杨贵媚",1994-08-03(美国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
95,血战钢锯岭,"主演：安德鲁·加菲尔德,雨果·维文,卢克·布雷西",2016-12-08,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
96,模仿游戏,"主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",2015-07-21,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
97,大鱼,"主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",2003-12-04(美国),8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
98,致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
99,奇迹男孩,"主演：雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",2018-01-19,9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
100,傲慢与偏见,"主演：马修·麦克费登,吉娜·马隆,妲露拉·莱莉",2008-02-10,8.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
